id,seed,target,model,rmse,r2,custom_str
59,b'f\xd6\x00\x00',Originality,CatBoost,0.17473997237781683,0.34917893000066536,
60,b'f\xd6\x00\x00',Originality,LightGBM,0.181931214554751,0.2945089366950795,
61,b'f\xd6\x00\x00',Flexibility,WeightedEnsemble_L2,0.12370067522708393,0.6453536129322236,
62,b'f\xd6\x00\x00',Flexibility,LinearModel,0.12466625655660285,0.6397954147062881,
63,b'f\xd6\x00\x00',Flexibility,CatBoost,0.12642168759669348,0.6295798816471413,
64,b'f\xd6\x00\x00',Flexibility,LightGBM,0.12700408164135638,0.626159149270693,
65,b'y\x18\x00\x00',Total Score,LinearModel,0.10895252929488854,0.7060972835898813,
66,b'y\x18\x00\x00',Total Score,CatBoost,0.11031422248077885,0.698704959241679,
67,b'y\x18\x00\x00',Total Score,WeightedEnsemble_L2,0.11156239775612634,0.6918482444674204,
68,b'y\x18\x00\x00',Total Score,LightGBM,0.11744811890833826,0.6584761030001671,
69,b'y\x18\x00\x00',Fluency,LinearModel,0.1024658581365245,0.7916526806876196,
70,b'y\x18\x00\x00',Fluency,CatBoost,0.11050959057493924,0.757657550249998,
71,b'y\x18\x00\x00',Fluency,WeightedEnsemble_L2,0.11206868980075266,0.750771247810907,
72,b'y\x18\x00\x00',Fluency,LightGBM,0.12036782300172372,0.7124917139932416,
73,b'y\x18\x00\x00',Originality,WeightedEnsemble_L2,0.17153381426353392,0.37848204669807906,
74,b'y\x18\x00\x00',Originality,LinearModel,0.17213374344391733,0.3741270010479948,
75,b'y\x18\x00\x00',Originality,CatBoost,0.17447848346919317,0.35696006598661423,
76,b'y\x18\x00\x00',Originality,LightGBM,0.18027142272001345,0.3135514986882888,
77,b'y\x18\x00\x00',Flexibility,LinearModel,0.12513293800553488,0.6680048146889759,
78,b'y\x18\x00\x00',Flexibility,CatBoost,0.12771707255998924,0.6541510884313954,
79,b'y\x18\x00\x00',Flexibility,WeightedEnsemble_L2,0.12786447335933515,0.6533523256256244,
80,b'y\x18\x00\x00',Flexibility,LightGBM,0.13245701220752765,0.6280038787340798,
81,b'\xd2A\x01\x00',Total Score,WeightedEnsemble_L2,0.09361921175333575,0.7560492636036444,
82,b'\xd2A\x01\x00',Total Score,CatBoost,0.09412773430934401,0.7533918737301433,
83,b'\xd2A\x01\x00',Total Score,LightGBM,0.09439883895587825,0.7519692773217793,
84,b'\xd2A\x01\x00',Total Score,LinearModel,0.09844332815475752,0.7302603754106606,
85,b'\xd2A\x01\x00',Fluency,WeightedEnsemble_L2,0.08887853162029927,0.8285563965908728,
86,b'\xd2A\x01\x00',Fluency,CatBoost,0.08940387222364932,0.8265236792409736,
87,b'\xd2A\x01\x00',Fluency,LightGBM,0.09294259947678256,0.8125190376288729,
88,b'\xd2A\x01\x00',Fluency,LinearModel,0.09521072168759806,0.8032570140047246,
89,b'\xd2A\x01\x00',Originality,CatBoost,0.1677385222738066,0.39225149290453887,
90,b'\xd2A\x01\x00',Originality,LightGBM,0.16798349941148236,0.39047499924802687,
91,b'\xd2A\x01\x00',Originality,WeightedEnsemble_L2,0.1686307625154853,0.38576878559469796,
92,b'\xd2A\x01\x00',Originality,LinearModel,0.1709740077892369,0.36857981743788903,
93,b'\xd2A\x01\x00',Flexibility,WeightedEnsemble_L2,0.11525490237597802,0.6782036142301364,
94,b'\xd2A\x01\x00',Flexibility,CatBoost,0.115460237214612,0.6770559863697017,
95,b'\xd2A\x01\x00',Flexibility,LinearModel,0.11750521495935887,0.6655150125635678,
96,b'\xd2A\x01\x00',Flexibility,LightGBM,0.12000531039726586,0.6511302798836274,
97,b'J\x91\x00\x00',Total Score,WeightedEnsemble_L2,0.09983639173389945,0.7183063225933852,
98,b'J\x91\x00\x00',Total Score,LinearModel,0.10028323370976412,0.7157791029335345,
99,b'J\x91\x00\x00',Total Score,CatBoost,0.10088610686462311,0.7123515270018936,
100,b'J\x91\x00\x00',Total Score,LightGBM,0.10357092698095455,0.6968377838949057,
101,b'J\x91\x00\x00',Fluency,CatBoost,0.09655971912632,0.8064124325837467,
102,b'J\x91\x00\x00',Fluency,WeightedEnsemble_L2,0.09664935570386478,0.8060528503200866,
103,b'J\x91\x00\x00',Fluency,LightGBM,0.09714276898750143,0.8040675215479899,
104,b'J\x91\x00\x00',Fluency,LinearModel,0.1018993176075355,0.7844102910063083,
105,b'J\x91\x00\x00',Originality,LinearModel,0.16788692928662347,0.3479094544524248,
106,b'J\x91\x00\x00',Originality,WeightedEnsemble_L2,0.16788692928662347,0.3479094544524248,
107,b'J\x91\x00\x00',Originality,CatBoost,0.16898599529316619,0.339343731678477,
108,b'J\x91\x00\x00',Originality,LightGBM,0.17257722616649224,0.31096528900579046,
109,b'J\x91\x00\x00',Flexibility,CatBoost,0.10762172414647912,0.7003734267887358,
110,b'J\x91\x00\x00',Flexibility,WeightedEnsemble_L2,0.10884961594991871,0.6934973464432685,
111,b'J\x91\x00\x00',Flexibility,LinearModel,0.11024970144949728,0.6855618149619744,
112,b'J\x91\x00\x00',Flexibility,LightGBM,0.11126943571313166,0.6797182389200656,
113,b'\xcaU\x01\x00',Total Score,LightGBM,0.0980430638082265,0.7609790195407301,
114,b'\xcaU\x01\x00',Total Score,WeightedEnsemble_L2,0.09865566339599297,0.7579827524463282,
115,b'\xcaU\x01\x00',Total Score,LinearModel,0.1012728970989329,0.7449714845731366,
116,b'\xcaU\x01\x00',Total Score,CatBoost,0.10136524345459129,0.7445061736714137,
117,b'\xcaU\x01\x00',Fluency,LightGBM,0.09990413948443692,0.7932220295789321,
118,b'\xcaU\x01\x00',Fluency,CatBoost,0.1001791640271522,0.7920819908584982,
119,b'\xcaU\x01\x00',Fluency,WeightedEnsemble_L2,0.100384951152116,0.7912269069511175,
120,b'\xcaU\x01\x00',Fluency,LinearModel,0.10434834224828804,0.7744159396439196,
121,b'\xcaU\x01\x00',Originality,WeightedEnsemble_L2,0.15915321936631482,0.4591608467764601,
122,b'\xcaU\x01\x00',Originality,LinearModel,0.15997241769345869,0.45357887007164566,
123,b'\xcaU\x01\x00',Originality,LightGBM,0.1608253327154536,0.44773669797921534,
124,b'\xcaU\x01\x00',Originality,CatBoost,0.16200709384744205,0.4395907033271258,
125,b'\xcaU\x01\x00',Flexibility,LinearModel,0.12001234902043952,0.6971864417916873,
126,b'\xcaU\x01\x00',Flexibility,WeightedEnsemble_L2,0.12098921115294738,0.6922367680584828,
127,b'\xcaU\x01\x00',Flexibility,LightGBM,0.1252333206898474,0.6702663753069842,
128,b'\xcaU\x01\x00',Flexibility,CatBoost,0.12800938911127654,0.6554858264392736,
129,b'c\xac\x00\x00',Total Score,WeightedEnsemble_L2,0.09607546483385596,0.728886727467497,
130,b'c\xac\x00\x00',Total Score,LinearModel,0.09660705992460705,0.7258782339467432,
131,b'c\xac\x00\x00',Total Score,CatBoost,0.09932804677448553,0.7102192171046022,
132,b'c\xac\x00\x00',Total Score,LightGBM,0.1019244706988494,0.6948715378497485,
133,b'c\xac\x00\x00',Fluency,LinearModel,0.08583638333487031,0.8299639202940838,
134,b'c\xac\x00\x00',Fluency,WeightedEnsemble_L2,0.08791754537573526,0.8216186810557272,
135,b'c\xac\x00\x00',Fluency,CatBoost,0.09142672385908321,0.8070945143890891,
136,b'c\xac\x00\x00',Fluency,LightGBM,0.09458529618442836,0.7935354383194042,
137,b'c\xac\x00\x00',Originality,CatBoost,0.16742371034960293,0.3226300720880989,
138,b'c\xac\x00\x00',Originality,WeightedEnsemble_L2,0.17166166257769824,0.28790388501936437,
139,b'c\xac\x00\x00',Originality,LinearModel,0.17239735956155508,0.2817870901873618,
140,b'c\xac\x00\x00',Originality,LightGBM,0.17682020884919095,0.24446291560126454,
141,b'c\xac\x00\x00',Flexibility,LinearModel,0.11881729203538008,0.6789775802878419,
142,b'c\xac\x00\x00',Flexibility,WeightedEnsemble_L2,0.11998396739379681,0.6726423456905566,
143,b'c\xac\x00\x00',Flexibility,CatBoost,0.12594381717699,0.6393135996045705,
144,b'c\xac\x00\x00',Flexibility,LightGBM,0.12739403364772453,0.6309593205288212,
145,b'g\xeb\x00\x00',Total Score,WeightedEnsemble_L2,0.10594972225461824,0.7022463549359104,
146,b'g\xeb\x00\x00',Total Score,LinearModel,0.10792354996343904,0.6910488001206165,
147,b'g\xeb\x00\x00',Total Score,LightGBM,0.10947853980755466,0.6820817682567993,
148,b'g\xeb\x00\x00',Total Score,CatBoost,0.11249813515550125,0.6643025143981313,
149,b'g\xeb\x00\x00',Fluency,WeightedEnsemble_L2,0.09809825183115764,0.8018605577281441,
150,b'g\xeb\x00\x00',Fluency,LinearModel,0.10053578765443165,0.7918915236236751,
151,b'g\xeb\x00\x00',Fluency,CatBoost,0.1041481364610445,0.7766677676642743,
152,b'g\xeb\x00\x00',Fluency,LightGBM,0.10689488066237289,0.7647323504873512,
153,b'g\xeb\x00\x00',Originality,LinearModel,0.17759341993332503,0.34502118953984007,
154,b'g\xeb\x00\x00',Originality,WeightedEnsemble_L2,0.17952847398409716,0.3306701591021778,
155,b'g\xeb\x00\x00',Originality,CatBoost,0.18387221832957854,0.29788905960674517,
156,b'g\xeb\x00\x00',Originality,LightGBM,0.18786859628598918,0.26703727361891194,
157,b'g\xeb\x00\x00',Flexibility,WeightedEnsemble_L2,0.13002248457989365,0.6168314118551207,
158,b'g\xeb\x00\x00',Flexibility,LinearModel,0.13025407209226286,0.6154652468145737,
159,b'g\xeb\x00\x00',Flexibility,CatBoost,0.1351298253613076,0.5861381369616804,
160,b'g\xeb\x00\x00',Flexibility,LightGBM,0.13750333222224995,0.5714717836673795,
161,b'\x97>\x00\x00',Total Score,WeightedEnsemble_L2,0.10361792134803219,0.7078151805657507,
162,b'\x97>\x00\x00',Total Score,LinearModel,0.10405982852580747,0.7053176608680051,
163,b'\x97>\x00\x00',Total Score,CatBoost,0.1047046713032012,0.7016541423940508,
164,b'\x97>\x00\x00',Total Score,LightGBM,0.10875491671536826,0.6781261483064713,
165,b'\x97>\x00\x00',Fluency,WeightedEnsemble_L2,0.0941833398300544,0.7964233555313641,
166,b'\x97>\x00\x00',Fluency,CatBoost,0.09542224140614977,0.7910323757819396,
167,b'\x97>\x00\x00',Fluency,LinearModel,0.09867943194688428,0.7765228832846629,
168,b'\x97>\x00\x00',Fluency,LightGBM,0.10125853285290823,0.7646885613619375,
169,b'\x97>\x00\x00',Originality,LinearModel,0.16809394572873435,0.4088235407810136,
170,b'\x97>\x00\x00',Originality,WeightedEnsemble_L2,0.16951987543966532,0.3987511788193021,
171,b'\x97>\x00\x00',Originality,CatBoost,0.17168266563655432,0.38331145107312947,
172,b'\x97>\x00\x00',Originality,LightGBM,0.17361481681345275,0.369352669724873,
173,b'\x97>\x00\x00',Flexibility,WeightedEnsemble_L2,0.12636979348942715,0.6306123382828245,
174,b'\x97>\x00\x00',Flexibility,CatBoost,0.12738466436779045,0.6246554383502043,
175,b'\x97>\x00\x00',Flexibility,LinearModel,0.1282004383664527,0.6198326163997999,
176,b'\x97>\x00\x00',Flexibility,LightGBM,0.13325434965925345,0.5892679227080876,
177,b'\x82\xa0\x00\x00',Total Score,CatBoost,0.1046264510919861,0.6798902543271128,
178,b'\x82\xa0\x00\x00',Total Score,WeightedEnsemble_L2,0.10507275547592411,0.6771534493710231,
179,b'\x82\xa0\x00\x00',Total Score,LinearModel,0.10737540058024214,0.6628481852414176,
180,b'\x82\xa0\x00\x00',Total Score,LightGBM,0.10802918004520523,0.658730035658463,
181,b'\x82\xa0\x00\x00',Fluency,CatBoost,0.09539082436467165,0.7878683806657361,
182,b'\x82\xa0\x00\x00',Fluency,WeightedEnsemble_L2,0.09641123826483787,0.7833056814232824,
183,b'\x82\xa0\x00\x00',Fluency,LightGBM,0.10073582650613871,0.7634297595097488,
184,b'\x82\xa0\x00\x00',Fluency,LinearModel,0.10327801151992395,0.7513388496440849,
185,b'\x82\xa0\x00\x00',Originality,WeightedEnsemble_L2,0.17050809189565058,0.353743067223631,
186,b'\x82\xa0\x00\x00',Originality,CatBoost,0.1712577568591914,0.3480478393732055,
187,b'\x82\xa0\x00\x00',Originality,LinearModel,0.17381797809749236,0.3284093922413176,
188,b'\x82\xa0\x00\x00',Originality,LightGBM,0.1745987651465655,0.32236229650459647,
189,b'\x82\xa0\x00\x00',Flexibility,WeightedEnsemble_L2,0.12209249815183705,0.626553236177124,
190,b'\x82\xa0\x00\x00',Flexibility,LinearModel,0.12347902868473938,0.6180230563163369,
191,b'\x82\xa0\x00\x00',Flexibility,CatBoost,0.12393149417314955,0.6152185632757163,
192,b'\x82\xa0\x00\x00',Flexibility,LightGBM,0.1256972763020655,0.6041756796577724,
193,b'\x95\x06\x01\x00',Total Score,WeightedEnsemble_L2,0.11094278285349933,0.6672226753630144,
194,b'\x95\x06\x01\x00',Total Score,LinearModel,0.1130111090448026,0.654698957917769,
195,b'\x95\x06\x01\x00',Total Score,CatBoost,0.11387247805571027,0.6494151388434741,
196,b'\x95\x06\x01\x00',Total Score,LightGBM,0.11414932032047222,0.6477084106010298,
197,b'\x95\x06\x01\x00',Fluency,WeightedEnsemble_L2,0.10443485723622688,0.7521270663301853,
198,b'\x95\x06\x01\x00',Fluency,CatBoost,0.10520120576131721,0.7484759096252962,
199,b'\x95\x06\x01\x00',Fluency,LinearModel,0.10735570580829444,0.7380680867849957,
200,b'\x95\x06\x01\x00',Fluency,LightGBM,0.10877666938913054,0.7310883197811567,
201,b'\x95\x06\x01\x00',Originality,WeightedEnsemble_L2,0.17416361427270527,0.3736336019782027,
202,b'\x95\x06\x01\x00',Originality,LinearModel,0.17613443478178864,0.3593775790285152,
203,b'\x95\x06\x01\x00',Originality,CatBoost,0.17614167952426577,0.3593248779207472,
204,b'\x95\x06\x01\x00',Originality,LightGBM,0.17986999317633953,0.33191606207511193,
205,b'\x95\x06\x01\x00',Flexibility,WeightedEnsemble_L2,0.13559250145553103,0.5782163760635268,
206,b'\x95\x06\x01\x00',Flexibility,LinearModel,0.1365818600390512,0.5720387828518612,
207,b'\x95\x06\x01\x00',Flexibility,CatBoost,0.13815702876305716,0.5621106955899605,
208,b'\x95\x06\x01\x00',Flexibility,LightGBM,0.1390053084448496,0.5567169352202275,
209,b'4\xfd\x00\x00',Total Score,WeightedEnsemble_L2,0.09059365734238968,0.7758951952715808,
210,b'4\xfd\x00\x00',Total Score,LinearModel,0.09151733844029078,0.7713020116501969,
211,b'4\xfd\x00\x00',Total Score,CatBoost,0.09216880447741373,0.7680344502546299,
212,b'4\xfd\x00\x00',Total Score,LightGBM,0.09634943192087221,0.7465140463828033,
213,b'4\xfd\x00\x00',Fluency,WeightedEnsemble_L2,0.08799629242401252,0.8271111194908181,
214,b'4\xfd\x00\x00',Fluency,CatBoost,0.0883779505636654,0.825608157473039,
215,b'4\xfd\x00\x00',Fluency,LinearModel,0.09089060703514502,0.8155509929663698,
216,b'4\xfd\x00\x00',Fluency,LightGBM,0.09284665643951054,0.8075265410853019,
217,b'4\xfd\x00\x00',Originality,WeightedEnsemble_L2,0.16203637889521197,0.426502639253841,
